,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
34107,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34108,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1347.3,0,
34110,Jan-23,TURA,PHULBARI,170,OK,ACT,,171.75,171.75,0,0,
34112,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34114,Jan-23,TURA,PHULBARI,123.8,OK,ACT,,124.4,124.4,0,0,
34115,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1347.3,0,
34117,Jan-23,TURA,PHULBARI,160.32,OK,ACT,,161.82,161.82,1102.33,0,
34120,Jan-23,TURA,PHULBARI,145.24,OK,ACT,500,146.59,146.59,675.64,0,
34126,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34129,Jan-23,TURA,PHULBARI,149.5,OK,ACT,151,151,151,0,0,
34141,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34142,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34146,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,4290.01,0,
34152,Jan-23,TURA,PHULBARI,114.06,OK,ACT,230,115.06,115.06,106.19,0,
34155,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34158,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,1088.8,0,
34159,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
34161,Jan-23,TURA,PHULBARI,113,OK,ACT,,114,114,0,0,
34163,Jan-23,TURA,PHULBARI,141.35,OK,ACT,,142.6,142.6,1038.02,0,
34164,Jan-23,TURA,PHULBARI,191.42,OK,ACT,,192.92,192.92,194.26,0,
34166,Jan-23,TURA,PHULBARI,173.24,OK,ACT,,174.99,174.99,329.05,0,
34169,Jan-23,TURA,PHULBARI,220.59,OK,ACT,,221.89,221.89,8890.02,0,
34170,Jan-23,TURA,PHULBARI,134.9,OK,ACT,,136.2,136.2,0,0,
34178,Jan-23,TURA,PHULBARI,0,OK,BACKEND,,,0,0,0,
